toys,computer animation,pixar animation,kids and family,animation
native americans,life & death,surreal,enigmatic,western
scenic,cinematography,love story,beautiful scenery,france
gangs,race issues,high school,lesbian,independent film
spanish,spain,screwball,almodovar,bollywood
france,french,comedy,medieval,time travel
cloning,clones,comedy,goofy,silly
claymation,funny,stop motion,british comedy,aardman studios
eccentricity,documentary,movie business,independent film,original
teen movie,goth,teen,witch,teens
sports,boxing,comedy,satire,original
death,lawyer,life & death,death penalty,murder
adapted from:book,based on a book,1930s,england,british comedy
surreal,weird,dreamlike,surrealism,enigmatic
nudity (topless - notable),original,memory loss,doctors,nudity (full frontal - notable)
detective,new orleans,chase,murder,revenge
gangs,vigilante,gangsters,grindhouse,violence
good action,action,action packed,lone hero,alcatraz
comedy,vigilantism,off-beat comedy,vengeance,nazi
splatter,dark humor,dark hero,zombies,cult classic
natural disaster,special effects,big budget,chase,action
dystopic future,based on a comic,nudity (topless),horrible,futuristic
cyberpunk,cyborgs,futuristic,complex,philosophical
adapted from:book,lawyer,based on a book,horror,based on book
spoof,parody,spying,silly fun,comedy
stop motion,claymation,animation,aardman,dog
gangster,film noir,organized crime,noir,betrayal
stupid,stupidity,idiotic,dumb but funny,so bad it's funny
alien,aliens,alien invasion,first contact,conspiracy
imdb top 250,dark humor,sarcasm,kubrick,satirical
surreal,surrealism,weird,independent film,lynch
italy,1930s,romance,romantic,love story
small town,friendship,family,unlikely friendships,adventure
literary adaptation,adapted from:book,spying,based on a book,adventure
documentary,bollywood,obsession,independent film,original
wuxia,stylized,love,loneliness,meditative
documentary,original,mentor,interesting,suprisingly clever
germany,world war ii,wwii,german,best war films
super hero,based on a comic,superhero,superheroes,based on comic
strippers,based on a book,nudity (topless - notable),based on book,pornography
irish,irish accent,ireland,coming-of-age,fight scenes
independent film,loneliness,indie,melancholic,original
drama,childhood,mentor,aging,comedy
transgender,independent film,true story,obsession,insanity
coming of age,eccentricity,mentor,storytelling,small town
melancholic,life philosophy,intimate,original,movielens top pick
oscar (best foreign language film),music,bollywood,original,mentor
criterion,latin america,enigmatic,independent film,intimate
obsession,devil,insanity,macabre,adaptation
women,original,intense,sexy,giant robots
drug abuse,drug addiction,addiction,drugs,heroin
romantic,destiny,romantic comedy,love story,romance
alien,aliens,big budget,alien invasion,special effects
visually appealing,liv tyler,nudity (topless - notable),relationships,beautiful scenery
baseball,obsession,sports,oscar (best supporting actor),mentor
disney animated feature,animation,disney,based on a book,cartoon
goofy,comedy,dark comedy,obsession,dark humor
comedy,funniest movies,dumb,bowling,goofy
action,arnold,good action,action packed,gunfight
china,foreign,criterion,bollywood,finnish
comedy,buddy movie,goofy,remake,hilarious
spanish,lesbian,women,writers,pornography
bollywood,culture clash,oscar (best foreign language film),gypsy accent,original
musicians,poland,music,holocaust,bollywood
mozart,tokyo,bollywood,visually appealing,original
death,bollywood,solitude,cancer,melancholic
gay,author:neil gaiman,homosexuality,bollywood,independent film
amy smart,original,series,good,mentor
gay,pornography,sexual,reflective,relationships
natural disaster,disaster,action,new jersey,special effects
ghosts,supernatural,small town,death,horror
southern theme,small town,texas,complex,interracial romance
spying,spies,spy,childhood,kids and family
tear jerker,destiny,sentimental,touching,love story
relationships,friendship,unlikely friendships,independent film,dialogue driven
relationships,independent film,ethnic conflict,cheating,dialogue
vigilante,lawyer,lawyers,courtroom,vigilantism
based on a play,independent film,dialogue,original,talky
adultery,love,relationships,infidelity,criterion
alaska,kids and family,wilderness,single father,kids
action,good action,chase,hit men,mafia
horrible,so bad it's funny,predictable,stupid,new york
original,comedy,road movie,funny,saturday night live
stand-up comedy,original,enigmatic,independent film,oscar (best foreign language film)
sequel,sequels,good sequel,original,family
bollywood,weird,parallel universe,tokyo,visually appealing
criterion,spanish,jungle,oscar (best foreign language film),melancholic
nocturnal,great,hip hop,original,nudity (full frontal - notable)
criterion,talky,intimate,art,enigmatic
germany,independent film,german,original,18th century
bollywood,original,weird,pretentious,pornography
based on a book,based on book,fairy tale,adaptation,childhood
music,silly fun,original,new york,stupid
women,chick flick,divorce,girlie movie,midlife crisis
gay,homosexuality,queer,gay character,glbt
kidnapping,tense,suspense,action,thriller
spoof,high school,parody,comedy,teen movie
original,teen movie,idiotic,hip hop,so bad it's funny
nudity (topless - notable),friendship,coming of age,good soundtrack,women
conspiracy,chase,action,conspiracy theory,action packed
based on book,based on a book,children,childhood,fantasy world
18th century,adapted from:book,jane austen,costume drama,literature
good sequel,dark hero,sequel,sequels,vengeance
children,divorce,kids,cute!,parenthood
criterion,mad scientist,creepy,macabre,obsession
vampires,vampire,splatter,blood,goth
bollywood,hip hop,independent film,fake documentary,tokyo
china,life philosophy,independent film,greed,great
china,life philosophy,tokyo,wuxia,oscar (best foreign language film)
original,independent film,very interesting,tokyo,weird
camp,boston,original,mentor,atheism
small town,redemption,mentor,sentimental,destiny
los angeles,sequel,sequels,snakes,gunfight
reflective,loneliness,hallucinatory,intimate,prostitution
artist,art,artistic,drug addiction,biography
golf,sports,chick flick,mentor,romantic comedy
jazz,musicians,superheroes,music,australian
criterion,japan,oscar (best foreign language film),allegory,beautifully filmed
rome,independent film,off-beat comedy,gypsy accent,talky
bollywood,stand-up comedy,china,fashion,pornography
francis ford copolla,organized crime,masterpiece,oscar (best directing),mafia
gay character,gay,queer,german,germany
martial arts,hong kong,kung fu,fight scenes,police
runaway,sisters,teen movie,kidnapping,teen
intimate,cheating,pornography,talky,weird
brutality,gangs,good soundtrack,independent film,brutal
stylish,mob,tense,neo-noir,gangster
chase,arnold,kids,original,predictable
australian,australia,death,melancholic,original
musicians,music,jazz,political corruption,gangsters
boat,comedy,stupid,original,predictable
so bad it's funny,brutality,gay character,nudity (topless),nudity (topless - notable)
criterion,loneliness,art house,independent film,golden palm
serial killer,prison,death penalty,brutality,fight scenes
fight scenes,original,revenge,chase,mentor
martial arts,kung fu,hong kong,fight scenes,action
women,suicide,teen movie,rape,teen
monsters,monster,alien,based on book,chase
mad scientist,pointless,genetics,horrible,original
secret service,spying,kids,president,assassin
very interesting,original,bad ending,paranoia,pointless
addiction,drugs,drug abuse,drinking,life philosophy
imaginary friend,fantasy world,magic,childhood,new jersey
undercover cop,action,buddy movie,comedy,good action
irish,spain,romance,love story,romantic
intimate,classic car,obsession,original,erotic
halloween,slasher,franchise,serial killer,teens
shakespeare,mistaken identity,love,literary adaptation,cross dressing
world war ii,adapted from:book,wartime,nazis,germany
metaphysics,women,parallel universe,mentor,original
gay character,coming of age,adolescence,french,france
adapted from:book,oscar (best supporting actress),civil war,spain,based on a book
screwball comedy,imdb top 250,oscar (best actor),classic,oscar (best directing)
dancing,dance,musical,imdb top 250,music
oscar (best picture),dancing,paris,dance,oscar (best cinematography)
dancing,fashion,paris,musical,dance
oscar (best actress),bittersweet,new york,romantic,love story
hitchcock,obsession,imdb top 250,masterpiece,enigmatic
hitchcock,voyeurism,suspenseful,imdb top 250,obsession
oscar (best directing),oscar (best picture),screwball comedy,imdb top 250,oscar (best actress)
oscar (best actress),tense,murder,suspense,psychological
dancing,dance,mistaken identity,musical,divorce
hitchcock,imdb top 250,espionage,mistaken identity,spying
oscar (best picture),imdb top 250,adultery,drama,relationships
cross dressing,imdb top 250,classic,comedy,screwball comedy
hitchcock,criterion,paris,twists & turns,plot twist
imdb top 250,classic,world war ii,oscar (best picture),black and white
noir thriller,private detective,noir,classic,imdb top 250
oscar (best picture),70mm,broadway,oscar (best supporting actor),musical
based on a play,romantic comedy,love,romance,romantic
oscar (best actress),rome,oscar (best picture),imdb top 250,romantic comedy
based on a book,boarding school,childhood,based on book,rags to riches
musical,nostalgic,family,good music,christmas
wizards,witch,classic,fantasy,witches
civil war,oscar (best picture),oscar (best directing),oscar (best cinematography),oscar (best actress)
comedy,funny,great movie,original,television
imdb top 250,narrated,masterpiece,talky,black and white
masterpiece,imdb top 250,amazing cinematography,cinematography,enigmatic
space travel,masterpiece,space,science fiction,visual
germany,world war ii,nazis,nazi,poland
oscar (best directing),oscar (best picture),imdb top 250,oscar (best actress),classic
women,chick flick,fashion,divorce,classic
hitchcock,oscar (best cinematography),oscar (best picture),imdb top 250,criterion
hitchcock,assassination,espionage,conspiracy,suspense
